data,id_data,ano,mes,dia,dia_semana
2024-01-07,0,2024,1,7,Sunday
2024-01-11,1,2024,1,11,Thursday
2024-01-30,2,2024,1,30,Tuesday
2024-01-14,3,2024,1,14,Sunday
2024-01-02,4,2024,1,2,Tuesday
2024-01-18,5,2024,1,18,Thursday
2024-01-09,6,2024,1,9,Tuesday
2024-01-19,7,2024,1,19,Friday
2024-01-28,8,2024,1,28,Sunday
2024-01-13,9,2024,1,13,Saturday
2024-01-05,10,2024,1,5,Friday
2024-01-26,11,2024,1,26,Friday
2024-01-04,12,2024,1,4,Thursday
2024-01-22,13,2024,1,22,Monday
2024-01-24,14,2024,1,24,Wednesday
2024-01-15,15,2024,1,15,Monday
2024-01-10,16,2024,1,10,Wednesday
2024-01-23,17,2024,1,23,Tuesday
2024-01-12,18,2024,1,12,Friday
2024-01-17,19,2024,1,17,Wednesday
2024-01-16,20,2024,1,16,Tuesday
2024-01-08,21,2024,1,8,Monday
2024-01-20,22,2024,1,20,Saturday
2024-01-06,23,2024,1,6,Saturday
2024-01-21,24,2024,1,21,Sunday
2024-01-27,25,2024,1,27,Saturday
2024-01-29,26,2024,1,29,Monday
2024-01-01,27,2024,1,1,Monday
2024-01-25,28,2024,1,25,Thursday
